DAY,TC BLOCK,MAYA BLOCK
Day 1,9857265,
Day 2,9871065,
Day 3,9884865,
Day 4,9898665,
Day 5,9912465,
Day 6,9926265,
Day 7,9940065,
Day 8,9953865,
Day 9,9967665,
Day 10,9981465,41539
Day 11,9995965,56039
Day 12,10010465,70539
Day 13,10024965,85039
Day 14,10039465,99539
Day 15,10053965,114039
Day 16,10068465,128539
Day 17,10082965,143039
Day 18,10097465,157539
Day 19,10111965,172039
Day 20,10126465,186539
Day 21,10140965,201039
Day 22,10155465,215539
Day 23,10169965,230039
Day 24,10184465,244539
Day 25,10198965,259039
Day 26,10213465,273539
Day 27,10227965,288039
Day 28,10242465,302539
Day 29,10256965,317039
Day 30,10271465,331539
Day 31,10285965,346039
Day 32,10300465,360539
Day 33,10314965,375039
Day 34,10329465,389539
Day 35,10343965,404039
Day 36,10358465,418539
Day 37,10372965,433039
Day 38,10387465,447539
Day 39,10401965,462039
Day 40,10416465,476539
Day 41,10430965,491039
Day 42,10445465,505539
