,THOR Address,MAYA Address,Bonded_RUNE_TC
0,thor1f6cl37zggsu9mja6p4kgnvv35u0ddywjuzcfge,maya1f6cl37zggsu9mja6p4kgnvv35u0ddywju4x97f,
1,thor1v7agatdxmlg2yrkxttlkkkfl2erpwgzac9v0n8,maya1v7agatdxmlg2yrkxttlkkkfl2erpwgzacjjr9h,
2,thor16fvher0fuw5fhwj6evdhklj067njsvyxqj67q8,maya16fvher0fuw5fhwj6evdhklj067njsvyxq9yjkh,
3,thor1z2vf87v8q674y5awzlp0gcgk8hktc9rkg5uxpv,maya1z2vf87v8q674y5awzlp0gcgk8hktc9rkgrz2hu,
4,thor14sanmhejtzxxp9qeggxaysnuztx8f5jrafj4m0,maya14sanmhejtzxxp9qeggxaysnuztx8f5jra7vedl,
5,thor1r274700de2rlqfqtsu47h3gpejedfar277ddmd,maya1r274700de2rlqfqtsu47h3gpejedfar27fnpda,
6,thor1a5h4kvjvtgkmtk8xcupp9twvtupdqapfz5x8e0,maya1a5h4kvjvtgkmtk8xcupp9twvtupdqapfzrct0l,
7,thor14440cuv3j29rrjyjr0ryujny0a3wzpc0kcj093,maya14440cuv3j29rrjyjr0ryujny0a3wzpc0k0vrnp,
8,thor166t3n7pwesny95vn6jxzgqe2y955n9jvt6j8nf,maya166t3n7pwesny95vn6jxzgqe2y955n9jvtdvt9e,
9,thor1ef4p54l9mwvsus4jltrmmd3sujev02vqy4p87g,maya1ef4p54l9mwvsus4jltrmmd3sujev02vqyzltgc,
10,thor17quf7trge8pylphx3llkajrjp0mqwlsh9t8zx3,maya17quf7trge8pylphx3llkajrjp0mqwlsh9uewsp,
11,thor15wh9quxnxyh0r6vrcnczw5n8audyklw4e4hg3a,maya15wh9quxnxyh0r6vrcnczw5n8audyklw4ezfy8d,
12,thor1lg8fs4thlvp2altt9rls60s0sl6mtpd4nj426e,maya1lg8fs4thlvp2altt9rls60s0sl6mtpd4n9txvf,
13,thor149qyzz9rvxccn2xh3avsalzs5xzd9swzxvnzuz,maya149qyzz9rvxccn2xh3avsalzs5xzd9swzxmdw2j,
14,thor1yna7qjc357yf8p6hqjtlfmz3myzccduudcrvdc,maya1yna7qjc357yf8p6hqjtlfmz3myzccduud0aqmg,
15,thor14k8mgyztke4z8zhzyaq8cl8h84pf4pdctvhp3u,maya14k8mgyztke4z8zhzyaq8cl8h84pf4pdctmfd8v,
16,thor16sa3k77lffrdqm854djjr9lgzv777sadrhpgtt,maya1yqrawe56v0unylsgvu4vh8xxtk76h9hgcdfqnt,1166349.36038217
17,thor1mgsdhpz6j7pp296tc38x0f2amlk33kg2u9z5jk,maya1mgsdhpz6j7pp296tc38x0f2amlk33kg2ujucyx,
18,thor19erzps2w2dw2r2433l4r276zzsj3lnk05yknwx,maya16mtcval7x46dz3khd9pd79syt7k6s7zjqku5u8,
19,thor1ryx5ljswhtv3dkdxs6kd78jlz4nl7df000t8nk,maya1t4nvajg5gfpaya4jjgat73sr56rd49sqp8upkg,
20,thor1kw75crhq784esnna3r8rz65cehmwefe76dy9hr,maya1kjg8enkl7626rsnfmztypqp68wwff5ggkxv9xt,
21,thor147v4vzf7kwyyhlukml94xrzj9epg9tu6v4gs2j,maya1az7dp5gx24zpme5tkqngd07rpl56633f74wvaa,
22,thor10yv78nskyyfsl03e9jawmhuyl8zu59d8cp44m8,maya1zu8hrrhlv09aaklexzq8n3zg7cg974jzpe224m,
23,thor1a5tcljl4v2maaef6wc369r9mcfwn59m3awsk3m,maya1a5tcljl4v2maaef6wc369r9mcfwn59m3aew68t,
24,thor1we3enljeee65gw0ph9y7ucdq9y29crxkaencef,maya14ewuh422yllwe6qc46kvyapx8gx2gv0zsjjc57,
25,thor1tua6tdaza25kpwqx20dv34wn9szg7d2muhht6s,maya1u4fj00hcalpqc45y9ypxkhtxf7luuh8z8y8s0z,
26,thor1g9um0aj5fry8humrk6qgjzsfktj2hhuzuenv4e,maya1tujcmtdjqpslfma5hqufcmrdwe7s3ds0a6pgag,
27,thor19zp06sp8fnldzaed4rmzq8p9zqvd656fpdx5n4,maya19zp06sp8fnldzaed4rmzq8p9zqvd656fp6cc99,
28,thor1rerq0lxmhz9htg7ap7gmcck7uha7yfzm3v9zlq,maya1pp5vakapu5rxj4dtynrqkv3ekadgzpm233gnwl,
29,thor16pzkkp7crj56zfnyl07vp9aueyapsqtr3353rc,maya16pzkkp7crj56zfnyl07vp9aueyapsqtr3x2a4g,
30,thor13mpf4s9ytmdsnxxwzc9fjg9e3kwhpchk5t2uds,maya13mpf4s9ytmdsnxxwzc9fjg9e3kwhpchk5u5smq,
